,aid,title,url,date,time,length,play,danmaku,review,favorites,coin
0,9475750,冰冷解说：阴阳师19章新剧情（体验服）,http://www.bilibili.com/video/av9475750,2017-03-29,12:06:08,37:12,6716,933,203,61,955
1,9439587,冰冷解说：乱七八糟斗技阵容实况（返魂香荒、破势孟婆……）,http://www.bilibili.com/video/av9439587,2017-03-27,15:17:33,57:22,18302,701,170,91,329
2,9428273,【体验服快报】第006期：阴阳师御灵副本（4P更新完毕）,http://www.bilibili.com/video/av9428273,2017-03-27,03:17:50,23:04,63592,752,557,481,407
3,9419654,冰冷解说：6星青蛙瓷器后手斗技实况,http://www.bilibili.com/video/av9419654,2017-03-26,14:16:46,56:29,22338,1062,237,69,238
4,9395748,【阴阳师】茨木童子一拳雨女副本10层,http://www.bilibili.com/video/av9395748,2017-03-25,16:56:51,04:06,54857,331,425,392,172
5,9314710,冰冷解说：雨女皮肤副本“雨女的等待”全通关攻略,http://www.bilibili.com/video/av9314710,2017-03-21,17:14:50,36:36,65419,2051,1146,809,1215
6,9300772,冰冷解说：四保一烟烟罗阵容斗技实况,http://www.bilibili.com/video/av9300772,2017-03-21,02:10:30,65:26,21623,472,181,123,327
7,9293936,冰冷解说：6星鲤鱼精+河童斗技实况（男的不太厉害，后面让我换掉了……）,http://www.bilibili.com/video/av9293936,2017-03-20,13:07:56,63:32,24830,694,195,94,515
8,9228217,冰冷解说：6星地藏金鱼姬斗技实况,http://www.bilibili.com/video/av9228217,2017-03-17,16:39:54,58:21,38038,692,222,137,371
9,9209341,【阴阳师】新SR金鱼姬全传记+6星面板属性+技能描述,http://www.bilibili.com/video/av9209341,2017-03-16,21:35:01,03:54,28498,195,180,140,213
10,9188499,冰冷解说：4保1后手针女荒斗技实况（体验服第2名）,http://www.bilibili.com/video/av9188499,2017-03-15,14:09:37,62:05,29667,991,244,141,381
11,9187908,【阴阳师】新SSR荒全传记+原画+技能描述,http://www.bilibili.com/video/av9187908,2017-03-15,13:18:37,04:53,23270,318,254,437,470
12,9171994,冰冷解说：新版针女荒斗技实况（加强PVP，削弱PVE）,http://www.bilibili.com/video/av9171994,2017-03-14,19:10:26,31:36,36059,1027,306,191,485
13,9158447,冰冷解说：6星魍魉荒单人斗技实况（3P）,http://www.bilibili.com/video/av9158447,2017-03-14,01:58:08,168:00,30600,1019,197,164,370
14,9137695,冰冷解说：“荒竹反击流”单人斗技实况（排名50-20）,http://www.bilibili.com/video/av9137695,2017-03-12,23:17:28,64:48,45783,1302,302,363,598
15,9122374,冰冷解说：“荒竹反击流”协同斗技首秀,http://www.bilibili.com/video/av9122374,2017-03-12,22:57:04,92:58,29809,738,152,268,285
16,9109711,【阴阳师】针女荒VS石踞/年兽+万年竹全传记！,http://www.bilibili.com/video/av9109711,2017-03-11,14:41:32,07:21,195066,1339,975,1571,897
17,9071355,【体验服快报】第005期：荒/万年竹/新版荒川/樱花妖等,http://www.bilibili.com/video/av9071355,2017-03-10,01:21:08,41:55,67869,3235,882,502,3945
18,9047855,冰冷解说：妇女节特辑！全女式神斗技实况（孟婆、烟烟罗等）,http://www.bilibili.com/video/av9047855,2017-03-08,13:12:26,70:00,25054,630,153,142,309
19,9014983,冰冷解说：阴阳师视频攻略031 椒图反击流之酒吞队,http://www.bilibili.com/video/av9014983,2017-03-06,16:39:16,109:19,33326,1006,322,490,624
20,8941842,冰冷解说：阴阳师黑科技005 万箭穿心流,http://www.bilibili.com/video/av8941842,2017-03-03,06:31:10,60:26,55953,1084,272,463,1002
21,8850760,冰冷解说：体验服六星河童斗技首秀o(∩_∩)o,http://www.bilibili.com/video/av8850760,2017-02-26,05:30:01,71:15,58408,1182,279,223,429
22,8803411,【体验服快报】第004期：河畔童谣副本通关实况,http://www.bilibili.com/video/av8803411,2017-02-24,04:30:32,54:57,41561,1745,339,212,438
23,8778401,冰冷解说：“三琴余音流”斗技实况教学,http://www.bilibili.com/video/av8778401,2017-02-22,21:44:38,89:02,48732,1737,433,517,3115
24,8749188,冰冷解说：阴阳师全式神介绍之孟婆,http://www.bilibili.com/video/av8749188,2017-02-21,05:12:42,16:08,16595,241,250,121,252
25,8688869,冰冷解说：阴阳师全式神介绍之雨女,http://www.bilibili.com/video/av8688869,2017-02-18,04:41:15,20:06,23414,447,310,182,348
26,8665552,【体验服快报】第003期：卖御魂/古笼火加强/雨女加强/魅妖加强,http://www.bilibili.com/video/av8665552,2017-02-17,02:24:11,45:02,52674,1665,379,251,408
27,8648632,【FGO】萌新100抽测试一下血统！,http://www.bilibili.com/video/av8648632,2017-02-16,02:58:33,07:37,28522,694,595,41,149
28,8627224,冰冷解说：阴阳师全式神介绍之雪女,http://www.bilibili.com/video/av8627224,2017-02-15,05:47:04,31:03,32840,727,535,411,421
29,8569924,冰冷解说：阴阳师全式神介绍之妖琴师,http://www.bilibili.com/video/av8569924,2017-02-12,02:32:02,17:17,38042,817,397,685,569
30,8528436,冰冷解说：后手肉控流大战般若速控队（六星管狐+烟烟罗）,http://www.bilibili.com/video/av8528436,2017-02-10,04:26:39,73:27,56006,1312,340,296,386
31,8450714,冰冷解说：阴阳师全式神介绍之烟烟罗,http://www.bilibili.com/video/av8450714,2017-02-06,14:32:01,15:23,59546,569,313,497,446
32,8325651,冰冷解说：阴阳师视频攻略030 鸡肋御魂变废为宝,http://www.bilibili.com/video/av8325651,2017-01-31,12:12:24,67:20,113137,3028,1023,4679,2366
33,8164993,冰冷解说：阴阳师全式神介绍之黑童子,http://www.bilibili.com/video/av8164993,2017-01-22,13:35:57,14:59,84126,1092,449,1138,3582
34,8148063,冰冷解说：阴阳师妖刀之秘籍副本1-10层^_^,http://www.bilibili.com/video/av8148063,2017-01-21,21:28:59,22:29,59121,1133,637,635,302
35,8127677,【体验服快报】第002期：年兽副本/永久勾玉卡/新皮肤/经验酒壶,http://www.bilibili.com/video/av8127677,2017-01-20,15:36:25,31:44,48107,1279,381,165,945
36,8111160,【体验服快报】第001期：新版小鹿男/烟烟罗/辉夜姬/孟婆/傀儡师,http://www.bilibili.com/video/av8111160,2017-01-19,23:03:13,38:44,80824,3303,658,435,1045
37,8056933,【冰冷出品】火姬流反击队斗技实况（全服20名）,http://www.bilibili.com/video/av8056933,2017-01-17,02:10:43,60:33,49959,1837,233,147,317
38,8049943,冰冷解说：阴阳师视频攻略029 椒图反击流之吸血姬队,http://www.bilibili.com/video/av8049943,2017-01-16,11:15:11,57:59,48898,1088,444,648,670
39,8032150,"冰冷解说：小号""高端""斗技实况！ （1月15日）",http://www.bilibili.com/video/av8032150,2017-01-15,11:37:34,65:15,24046,440,157,46,161
40,7950766,"冰冷解说：小号""高端""斗技实况！ （1月10日）",http://www.bilibili.com/video/av7950766,2017-01-10,20:51:22,69:28,31774,805,222,81,227
41,7926624,冰冷解说：周一斗技直冲全服前20实况（1.9中午）,http://www.bilibili.com/video/av7926624,2017-01-09,03:25:03,65:33,49535,1294,192,158,298
42,7908881,冰冷解说：小号“高端”斗技实况！（1月7日）,http://www.bilibili.com/video/av7908881,2017-01-08,01:20:52,59:59,23868,702,206,101,198
