,aid,title,url,date,time,length,play,danmaku,review,favorites,coin
0,10361266,【FGO】杀生院1800KP副本Clear,http://www.bilibili.com/video/av10361266,2017-05-06,07:25:04,09:36,51124,790,808,257,774
1,10356993,【FGO】杀生院最强形态Clear,http://www.bilibili.com/video/av10356993,2017-05-06,05:02:29,29:52,92826,2781,1458,1003,2031
2,10322984,【FGO】YAHOO~~~~刷心脏咯,http://www.bilibili.com/video/av10322984,2017-05-04,23:40:16,02:44,45695,299,460,230,564
3,10268755,【FGO】狂坦队新成员报到,http://www.bilibili.com/video/av10268755,2017-05-02,10:44:30,04:28,52078,551,546,256,685
4,10257827,【FGO】人一定要有梦想,http://www.bilibili.com/video/av10257827,2017-05-02,02:22:40,04:46,44373,483,488,184,498
5,10254384,【FGO】仓管喜+1,http://www.bilibili.com/video/av10254384,2017-05-01,22:47:07,03:39,47852,283,699,148,418
6,10243035,【FGO】CCC联动池验毒,http://www.bilibili.com/video/av10243035,2017-05-01,08:24:19,15:26,53242,2278,1105,265,842
7,10021281,【闪乱】摇起来,http://www.bilibili.com/video/av10021281,2017-04-22,08:09:09,34:28,40234,716,623,313,576
8,9922342,【FGO】长江你也配称王？——无礼装5回合秒穿,http://www.bilibili.com/video/av9922342,2017-04-17,23:33:29,04:04,81753,572,963,852,1298
9,9907568,【FGO】老子才是暴击之王——无礼装8回合速通,http://www.bilibili.com/video/av9907568,2017-04-17,05:00:13,06:14,64469,731,683,382,912
10,9902919,【FGO】谁是暴击之王——无礼装高难度副本,http://www.bilibili.com/video/av9902919,2017-04-17,01:01:24,09:41,53014,1038,720,275,774
11,9829276,【真3斩】好困，割个草提提神,http://www.bilibili.com/video/av9829276,2017-04-14,02:41:02,04:07,34791,266,343,142,365
12,9815491,【真3斩】手机版无双割草,http://www.bilibili.com/video/av9815491,2017-04-13,07:58:37,18:37,57286,810,654,257,337
13,9762242,【FGO】可爱即是正义，食我斯卑修姆光线啦,http://www.bilibili.com/video/av9762242,2017-04-10,21:29:41,04:30,71154,554,597,529,883
14,9749312,【FGO】咕哒咕哒二期，高难度副本?,http://www.bilibili.com/video/av9749312,2017-04-10,05:41:57,03:20,52315,397,621,286,808
15,9634802,【FGO】土方卡池验毒,http://www.bilibili.com/video/av9634802,2017-04-05,08:44:43,15:16,55925,1701,712,160,685
16,9442249,【FGO】无间地狱——最初的高难度副本,http://www.bilibili.com/video/av9442249,2017-03-27,22:07:05,02:49,75974,356,637,551,1361
17,9256898,【塞尔达】手残党40秒无伤速刷银色人马,http://www.bilibili.com/video/av9256898,2017-03-18,23:50:05,05:57,19011,151,225,99,176
18,9221337,【塞尔达】荒野之息BUG，可以反复触发,http://www.bilibili.com/video/av9221337,2017-03-17,08:33:52,03:25,20781,136,243,48,189
19,9181787,【FGO】总司复刻卡池验毒,http://www.bilibili.com/video/av9181787,2017-03-15,06:42:57,12:25,66778,1955,643,286,572
20,9142162,【塞尔达】蛮人套装——全3迷宫,http://www.bilibili.com/video/av9142162,2017-03-13,03:49:29,16:35,12366,104,134,105,104
21,9134595,【塞尔达】四大迷宫BOSS战——骆驼+中途盗贼任务,http://www.bilibili.com/video/av9134595,2017-03-12,17:35:41,17:14,8093,152,116,25,85
22,9134493,【塞尔达】四大迷宫BOSS战——蜥蜴,http://www.bilibili.com/video/av9134493,2017-03-12,13:18:16,10:14,6177,92,92,15,70
23,9120309,【塞尔达】四大迷宫BOSS战——大象+中途人马任务,http://www.bilibili.com/video/av9120309,2017-03-12,03:12:14,14:45,12373,272,218,30,123
