,title,ID,url,channel,datetime,length,viewCount,likeCount,dislikeCount,commentCount,oneDayEnd
0,Российские военные показали последствия ударов США по базе Шайрат: кадры с воздуха,oKtJjPypT7I,www.youtube.com/watch?v=oKtJjPypT7I,Телеканал ЗВЕЗДА,2017-04-07 06:20:53,1:09,1600936,3199,2045,,1
1,[OFFICIAL VIDEO] Bohemian Rhapsody – Pentatonix,ojRj2JK5oCI,www.youtube.com/watch?v=ojRj2JK5oCI,PTXofficial,2017-04-07 09:59:43,6:32,2699477,266249,5988,26150,1
2,Jimmy Kimmel's Tribute to Don Rickles,6Fpcf0HcCgU,www.youtube.com/watch?v=6Fpcf0HcCgU,Jimmy Kimmel Live,2017-04-07 00:30:53,12:37,981478,15278,484,2014,1
3,What To Know About The U.S. Missile Attack On Syria | TIME,L-ve3JMogm8,www.youtube.com/watch?v=L-ve3JMogm8,TIME,2017-04-07 10:53:59,1:13,464509,2724,901,3028,1
4,"The Alex Jones Show - Trump Strikes Syria, Will Russia Respond? - 04/07/2017",lIKu2tDcnb0,www.youtube.com/watch?v=lIKu2tDcnb0,The Alex Jones Channel,2017-04-07 16:31:44,4:13:20,312929,4977,4869,3140,1
5,Harry Styles - Sign of the Times (Audio),z0GKGpObgPY,www.youtube.com/watch?v=z0GKGpObgPY,HarryStylesVEVO,2017-04-07 03:00:03,5:42,6171750,660378,8614,101411,1
6,Syria's war: Who is fighting and why [Updated],JFpanWNgfQY,www.youtube.com/watch?v=JFpanWNgfQY,Vox,2017-04-07 10:21:58,6:46,697096,26296,1305,,1
7,Will It Egg Roll? Taste Test,F6xUm-lo28A,www.youtube.com/watch?v=F6xUm-lo28A,Good Mythical Morning,2017-04-07 06:00:00,11:54,1051686,42287,562,7796,1
8,Morgan Freeman Re-Enacts The Shawshank Redemption | The Graham Norton Show,IPXeiS1tzr4,www.youtube.com/watch?v=IPXeiS1tzr4,The Graham Norton Show,2017-04-07 13:36:12,3:17,468234,12284,109,879,1
9,Syrian survivor to Trump: Thank you,s3uaf1NFxXc,www.youtube.com/watch?v=s3uaf1NFxXc,CNN,2017-04-07 16:16:56,3:20,754929,14639,1519,5830,1
10,ADULTS REACT TO IT TRAILER,qXf0dOE5ZRo,www.youtube.com/watch?v=qXf0dOE5ZRo,FBE,2017-04-07 17:00:02,8:45,784154,36274,602,6422,1
11,New Rule: What Would a Dick Do? | Real Time with Bill Maher (HBO),P2QXMGYluzo,www.youtube.com/watch?v=P2QXMGYluzo,Real Time with Bill Maher,2017-04-08 02:06:02,5:24,913590,17140,3254,,1
12,WHERE THE HELL IS MARKIPLIER?!,r44OLqK9L28,www.youtube.com/watch?v=r44OLqK9L28,Markiplier,2017-04-07 19:01:20,1:05,1095941,75539,1201,11780,1
13,"Dear YouTube, You Need To Watch This.",6if2ZOY3gQY,www.youtube.com/watch?v=6if2ZOY3gQY,DOSEofFOUSEY,2017-04-08 08:00:01,16:00,938201,97063,10427,20212,1
14,Louis C.K. Stand-Up Monologue - SNL,4Lsa7N7LHJk,www.youtube.com/watch?v=4Lsa7N7LHJk,Saturday Night Live,2017-04-09 01:00:00,9:46,1265253,17114,1178,,1
15,UFC 210: Post-fight Press Conference,iGkg4RENSuw,www.youtube.com/watch?v=iGkg4RENSuw,UFC - Ultimate Fighting Championship,2017-04-09 03:09:44,1:28:25,390284,3101,293,1307,1
16,Donald Trump at the Mine Cold Open - SNL,CL7kenX3Vu8,www.youtube.com/watch?v=CL7kenX3Vu8,Saturday Night Live,2017-04-09 02:31:42,5:27,2180823,23096,2469,,1
17,Chris Weidman vs. Gegard Mousasi | UFC 210 HIGHLIGHTS,qRl98IVP92Y,www.youtube.com/watch?v=qRl98IVP92Y,UFC ON FOX,2017-04-09 02:04:36,3:51,222923,876,146,529,1
18,The O'Reilly Factor with Donald Trump - SNL,7yq2CXkrZpo,www.youtube.com/watch?v=7yq2CXkrZpo,Saturday Night Live,2017-04-09 01:18:51,5:06,4191987,32844,5504,,1
19,Strange man opens a lot of boxes - Bad Unboxing Fan Mail,Nrn8aTlT194,www.youtube.com/watch?v=Nrn8aTlT194,iDubbbzTV,2017-04-08 16:00:01,9:46,1999175,139149,2635,17258,1
20,"Found Lost iPhone, Fishing Pole and Swimbaits Underwater in River! (Scuba Diving)",dPTglkp4Lpw,www.youtube.com/watch?v=dPTglkp4Lpw,DALLMYD,2017-04-08 22:42:10,13:43,1757937,100420,1425,11002,1
