,Unnamed: 0,title,ID,url,channel,datetime,length,viewCount,likeCount,dislikeCount,commentCount,oneDayEnd
30,30,"Hans Zimmer - Inception - Live at Coachella 2017 Sunday, April 16th",sv4LfRJXf5w,www.youtube.com/watch?v=sv4LfRJXf5w,Coachella,2017-04-17 01:54:03,9:15,663295,8661,295,1040,1
31,31,Bulls Steal Game 1! Sad News for Isaiah Thomas - Bulls vs Celtics,io48Hk6kV-Y,www.youtube.com/watch?v=io48Hk6kV-Y,Chris Smoove,2017-04-17 05:29:14,3:23,558994,13938,169,1867,1
32,32,Rihanna getting hype during Kendrick Lamar's performance at Coachella,W1UJx-PXaro,www.youtube.com/watch?v=W1UJx-PXaro,M.C.rush,2017-04-17 10:29:24,0:14,237830,1949,590,989,1
33,33,Street Crossing at the Boston Marathon,Qo-Kv6VUlYo,www.youtube.com/watch?v=Qo-Kv6VUlYo,B O,2017-04-17 14:57:10,1:29,1080117,7185,362,1052,1
34,34,"The Voice 2017 Chris Blue - Live Playoffs: ""Love on the Brain""",xFbnvUjfjEs,www.youtube.com/watch?v=xFbnvUjfjEs,The Voice,2017-04-17 22:00:05,2:36,54216,5900,126,739,0
35,35,Chris Pratt Confirms That Sylvester Stallone is in Guardians,PPLZfIcl_OM,www.youtube.com/watch?v=PPLZfIcl_OM,Jimmy Kimmel Live,2017-04-17 22:54:21,1:15,38509,1813,51,240,0
36,36,What Sean Spicer thinks of his 'SNL' impression,u6Oi-8jT6Us,www.youtube.com/watch?v=u6Oi-8jT6Us,CNN,2017-04-17 17:17:59,0:51,238183,1548,607,1374,1
37,37,InfoWar's Alex Jones Has Nothing On Tuck Buckford,8qBNml_sSVo,www.youtube.com/watch?v=8qBNml_sSVo,The Late Show with Stephen Colbert,2017-04-18 03:35:00,5:11,124523,4914,165,686,0
38,38,My Teachers,6fFJLaSo-_Q,www.youtube.com/watch?v=6fFJLaSo-_Q,TheOdd1sOut,2017-04-17 15:32:03,7:21,3009079,143953,1420,36675,1
39,39,Giant Sumo Battle | Dude Perfect,th2T6rygqNU,www.youtube.com/watch?v=th2T6rygqNU,Dude Perfect,2017-04-17 18:16:43,6:57,6849720,509671,5291,70503,1
40,40,Easter at the Trump White House: The Daily Show,49x3HZweRpU,www.youtube.com/watch?v=49x3HZweRpU,The Daily Show with Trevor Noah,2017-04-18 00:14:50,3:19,578438,16829,282,1125,0
41,41,"AMERICAN ASSASSIN - Teaser Trailer - HD (Dylan O’Brien, Michael Keaton, Sanaa Lathan, Taylor Kitsch)",XwHAGKxsbcg,www.youtube.com/watch?v=XwHAGKxsbcg,CBS Films,2017-04-18 10:50:57,2:28,28467,1830,27,293,0
42,42,Exercise,O6sS0qljJFI,www.youtube.com/watch?v=O6sS0qljJFI,Domics,2017-04-18 01:16:04,7:46,862112,91908,391,14994,0
43,43,Discontinued Snack Taste Test,zG6RCgtlb4M,www.youtube.com/watch?v=zG6RCgtlb4M,Good Mythical Morning,2017-04-18 06:00:05,13:32,799998,31306,607,8563,0
