,aid,title,url,date,time,length,play,danmaku,review,favorites,coin
0,9108412,黑桐谷歌【仁王】19 女王之眼 （完）,http://www.bilibili.com/video/av9108412,2017-03-11,23:00:10,18:05,106227,1422,561,241,3592
1,9085004,黑桐谷歌【仁王】18 魔王耀变,http://www.bilibili.com/video/av9085004,2017-03-10,23:00:44,50:52,97780,3041,474,219,1900
2,9039363,黑桐谷歌【仁王】17 佐和山的武士,http://www.bilibili.com/video/av9039363,2017-03-09,23:00:20,22:10,60530,995,225,150,1071
3,9039166,黑桐谷歌【仁王】16 不净灵山,http://www.bilibili.com/video/av9039166,2017-03-08,23:00:22,23:03,70088,1194,264,143,1101
4,9021201,黑桐谷歌【仁王】15 逢魔之源,http://www.bilibili.com/video/av9021201,2017-03-07,23:00:02,10:57,71474,849,266,153,1174
5,9006343,黑桐谷歌【仁王】14 关原,http://www.bilibili.com/video/av9006343,2017-03-07,05:00:48,16:19,75710,1242,324,167,1155
6,9006101,黑桐谷歌【仁王】13 不死之焰,http://www.bilibili.com/video/av9006101,2017-03-06,05:00:47,24:54,79981,1443,417,167,1263
7,8995016,黑桐谷歌【仁王】12 秽土之城,http://www.bilibili.com/video/av8995016,2017-03-05,11:27:39,25:10,91448,1784,398,238,1366
8,8970891,黑桐谷歌【仁王】11 对彼岸的思念,http://www.bilibili.com/video/av8970891,2017-03-04,10:49:12,13:05,96137,1014,463,225,1443
9,8932509,黑桐谷歌【仁王】10 横越伊贺,http://www.bilibili.com/video/av8932509,2017-03-02,20:16:09,18:13,87591,1126,421,197,1344
10,8923362,黑桐谷歌【仁王】09 比睿山的魔物,http://www.bilibili.com/video/av8923362,2017-03-02,05:19:45,19:05,74319,1188,389,169,1191
11,8911597,黑桐谷歌【仁王】08 潸然落雪,http://www.bilibili.com/video/av8911597,2017-03-01,11:08:10,17:09,97424,1255,487,321,1607
12,8882485,黑桐谷歌【仁王】07 信贵山的蜘蛛,http://www.bilibili.com/video/av8882485,2017-02-27,22:39:04,42:52,121555,2092,394,322,1598
13,8835946,黑桐谷歌【仁王】06 海鸣又起,http://www.bilibili.com/video/av8835946,2017-02-25,11:04:20,17:54,91938,1350,487,212,1905
14,8809818,黑桐谷歌【仁王】05 蠢动的银矿,http://www.bilibili.com/video/av8809818,2017-02-24,09:23:19,21:29,89246,1078,417,189,1375
15,8793451,黑桐谷歌【仁王】04 沉睡的灵石,http://www.bilibili.com/video/av8793451,2017-02-23,11:26:49,28:15,97827,1949,445,211,1442
16,8774110,黑桐谷歌【仁王】03 黑暗深处,http://www.bilibili.com/video/av8774110,2017-02-22,10:22:19,20:37,116430,1426,685,273,1620
17,8762198,【仁王·真剑胜负挑战杯】强者之道·真·立花宗茂 禁道具 禁服装 禁饰品 无伤,http://www.bilibili.com/video/av8762198,2017-02-22,00:08:32,02:10,95448,291,719,259,1651
18,8756283,黑桐谷歌【仁王】02 恶鬼栖息之岛,http://www.bilibili.com/video/av8756283,2017-02-21,11:00:40,30:03,140209,1680,652,314,2154
19,8749046,黑桐谷歌【仁王】01 拥有精灵的男人,http://www.bilibili.com/video/av8749046,2017-02-21,05:24:11,26:33,266649,3161,1173,928,3514
20,8664005,仁王直播实况录像【黑桐谷歌】2017-02-16 共5P,http://www.bilibili.com/video/av8664005,2017-02-17,00:48:17,287:49,251408,7675,632,1165,2783
21,8647869,黑桐谷歌【生化危机7】视频攻略 08 完,http://www.bilibili.com/video/av8647869,2017-02-16,02:38:14,56:09,154116,4806,1023,491,6360
22,8627676,黑桐谷歌【生化危机7】视频攻略  07,http://www.bilibili.com/video/av8627676,2017-02-15,01:27:35,50:10,164410,3959,929,495,6827
23,8561216,黑桐谷歌【生化危机7】视频攻略 06,http://www.bilibili.com/video/av8561216,2017-02-11,12:09:18,48:36,198879,4771,1562,564,5759
24,8486251,黑桐谷歌【生化危机7】视频攻略 05,http://www.bilibili.com/video/av8486251,2017-02-08,06:20:43,58:36,219026,7009,2047,583,7370
25,8453761,黑桐谷歌【生化危机7】视频攻略 04,http://www.bilibili.com/video/av8453761,2017-02-06,22:22:13,52:13,207331,5698,1378,551,6856
26,8417610,黑桐谷歌【生化危机7】视频攻略 03,http://www.bilibili.com/video/av8417610,2017-02-05,04:29:12,43:47,198722,5190,1352,560,6834
27,8398007,黑桐谷歌【生化危机7】视频攻略 02,http://www.bilibili.com/video/av8398007,2017-02-04,05:46:01,44:36,218907,5874,1385,683,7550
28,8376524,黑桐谷歌【生化危机7】视频攻略 01,http://www.bilibili.com/video/av8376524,2017-02-03,05:39:09,42:04,321221,7056,1726,1601,9698
29,8179668,黑桐谷歌【最终幻想15】一些小技巧分享 （全4期 更新中）,http://www.bilibili.com/video/av8179668,2017-01-23,08:15:56,154:27,161856,3373,1080,1744,3305
30,8002600,你若安好 便是擎天【汽车修理工模拟2015】实况解说,http://www.bilibili.com/video/av8002600,2017-01-14,00:47:55,83:47,184619,2758,705,1177,2306
31,7760727,【最终幻想15国行版】伊格尼斯的料理大全,http://www.bilibili.com/video/av7760727,2016-12-29,23:34:25,18:29,157935,2880,1073,3494,5103
32,7644257,黑桐谷歌【看门狗2】14 完结合集,http://www.bilibili.com/video/av7644257,2016-12-22,05:07:24,77:16,164302,3194,605,931,3598
33,7570248,黑桐谷歌【看门狗2】09 10 11 12,http://www.bilibili.com/video/av7570248,2016-12-17,06:29:29,140:39,244798,6993,759,882,4877
34,7371089,黑桐谷歌【看门狗2】05 06 07 08,http://www.bilibili.com/video/av7371089,2016-12-03,10:53:24,133:36,277998,6661,1025,899,5301
35,7270066,黑桐谷歌【看门狗2】04 甜美家园,http://www.bilibili.com/video/av7270066,2016-11-26,10:50:56,38:05,138566,2308,552,583,3949
36,7257666,黑桐谷歌【看门狗2】01 02 03,http://www.bilibili.com/video/av7257666,2016-11-25,22:43:36,126:37,435637,8472,1188,2166,7839
37,7010272,黑桐谷歌【泰坦天降2】07 完结合集,http://www.bilibili.com/video/av7010272,2016-11-07,22:43:58,269:26,354315,4510,1297,2785,8560
38,6988873,黑桐谷歌【泰坦天降2】06 圣柜,http://www.bilibili.com/video/av6988873,2016-11-06,05:01:57,230:48,179332,3000,741,519,4957
39,6948635,黑桐谷歌【泰坦天降2】05 信号台,http://www.bilibili.com/video/av6948635,2016-11-03,22:09:48,191:54,174460,3636,886,495,5679
40,6936698,黑桐谷歌【泰坦天降2】04 因果,http://www.bilibili.com/video/av6936698,2016-11-02,22:44:56,147:53,158926,3340,541,487,4738
41,6924759,黑桐谷歌【泰坦天降2】03 踏入虚空,http://www.bilibili.com/video/av6924759,2016-11-01,22:29:21,116:23,193055,2635,862,598,5284
42,6914895,黑桐谷歌【泰坦天降2】02 鲜血与铁锈,http://www.bilibili.com/video/av6914895,2016-11-01,01:42:54,29:27,198974,1752,857,483,5681
43,6900263,黑桐谷歌【泰坦天降2】01 BT-7274,http://www.bilibili.com/video/av6900263,2016-10-30,22:49:17,47:19,463584,2933,2358,3075,10026
44,6483543,【黑桐丧尸的谷歌围城】视频攻略 完结合集,http://www.bilibili.com/video/av6483543,2016-10-01,03:32:28,80:00,237491,6476,1022,1080,4797
45,6452292,【黑桐丧尸的谷歌围城】视频攻略 04,http://www.bilibili.com/video/av6452292,2016-09-28,10:47:16,59:04,153615,4058,796,401,2640
46,6380834,【黑桐丧尸的谷歌围城】视频攻略 03,http://www.bilibili.com/video/av6380834,2016-09-22,22:52:15,45:35,160482,3802,554,422,2829
47,6350661,【黑桐丧尸的谷歌围城】视频攻略 02,http://www.bilibili.com/video/av6350661,2016-09-20,00:54:57,55:41,200750,4017,711,545,3035
48,6329178,【黑桐丧尸的谷歌围城】视频攻略 01,http://www.bilibili.com/video/av6329178,2016-09-17,23:49:30,70:00,434219,8119,1590,1710,5276
49,6004938,【血与酒】黑桐谷歌视频攻略 08-2 下 童话现身,http://www.bilibili.com/video/av6004938,2016-08-25,05:51:35,67:00,96168,2859,874,331,2722
50,5997615,【血与酒】黑桐谷歌视频攻略 08-2 上 童话现身,http://www.bilibili.com/video/av5997615,2016-08-24,22:09:34,79:00,96397,5867,626,351,1944
51,5876410,【血与酒】黑桐谷歌视频攻略 08-1 下 暗影长者,http://www.bilibili.com/video/av5876410,2016-08-17,21:19:00,44:25,115971,3225,960,396,2004
52,5861008,【血与酒】黑桐谷歌视频攻略 08-1 上 暗影长者,http://www.bilibili.com/video/av5861008,2016-08-16,23:46:09,54:42,96974,3727,1201,348,1834
53,5726734,【血与酒】黑桐谷歌视频攻略 07 攻下一城,http://www.bilibili.com/video/av5726734,2016-08-09,01:34:47,29:20,78622,1919,713,270,1765
54,5657541,【血与酒】黑桐谷歌视频攻略 06 辛特拉之男,http://www.bilibili.com/video/av5657541,2016-08-04,22:41:56,53:18,84548,2795,663,282,2117
55,5574646,【血与酒】黑桐谷歌视频攻略 05 美酒是神圣的,http://www.bilibili.com/video/av5574646,2016-07-30,20:59:40,53:39,99540,3383,986,350,2530
56,5546901,【PV精选】初音 Project DIVA Future Tone （更新中）,http://www.bilibili.com/video/av5546901,2016-07-29,01:53:00,09:55,152446,5499,2002,8522,3240
57,5233619,【血与酒】黑桐谷歌视频攻略 04 愚人之笼 下,http://www.bilibili.com/video/av5233619,2016-07-07,00:05:42,39:48,97054,2249,752,290,1809
58,5218845,【血与酒】黑桐谷歌视频攻略 03 愚人之笼 上,http://www.bilibili.com/video/av5218845,2016-07-05,21:40:37,47:55,97595,2597,438,287,1708
59,5207182,【血与酒】黑桐谷歌视频攻略 马之灵,http://www.bilibili.com/video/av5207182,2016-07-04,23:14:06,30:46,104139,2618,777,343,2084
60,5158461,【血与酒】黑桐谷歌视频攻略 昆特牌 鲍克兰大赛,http://www.bilibili.com/video/av5158461,2016-07-01,02:34:55,38:35,93868,1755,482,343,1652
61,5144290,【血与酒】黑桐谷歌视频攻略 甜美家园 顾客永远是对的,http://www.bilibili.com/video/av5144290,2016-06-29,23:12:48,55:05,102051,3475,586,340,1941
62,5123718,【血与酒】黑桐谷歌视频攻略 湖女之剑,http://www.bilibili.com/video/av5123718,2016-06-28,02:52:04,62:00,172424,5546,683,849,2527
63,5085402,【血与酒】黑桐谷歌视频攻略 02,http://www.bilibili.com/video/av5085402,2016-06-24,23:14:35,55:58,139039,3743,870,414,2900
64,5072904,【血与酒】黑桐谷歌视频攻略 01,http://www.bilibili.com/video/av5072904,2016-06-23,21:02:47,71:00,316055,6181,1323,1209,5327
65,4902776,我的小美终于拿最佳了~留个纪念,http://www.bilibili.com/video/av4902776,2016-06-08,02:44:23,06:54,390686,1670,965,1723,3987
66,4741063,【勇者斗恶龙 创造】实况 04 终章 拉达托姆篇,http://www.bilibili.com/video/av4741063,2016-05-22,23:55:18,238:21,192823,10109,630,1119,2699
67,4729034,【勇者斗恶龙 创造】实况 03 麦拉·加雷亚篇,http://www.bilibili.com/video/av4729034,2016-05-21,22:00:59,202:03,178402,7196,637,1032,2104
68,4696341,【勇者斗恶龙 创造】实况 02 利姆而达篇,http://www.bilibili.com/video/av4696341,2016-05-18,20:50:49,185:16,226226,8610,525,1358,3005
69,4646930,【勇者斗恶龙 创造】实况 01 麦尔基德篇,http://www.bilibili.com/video/av4646930,2016-05-13,23:34:01,183:08,410694,15992,1091,2969,5949
70,4618851,神秘海域4直播录像,http://www.bilibili.com/video/av4618851,2016-05-10,22:56:07,64:00,538888,37046,1392,5249,6958
71,4609849,【黑暗之魂3】黑桐谷歌视频攻略 完 无名王者 洛里安王子 薪王们的化身,http://www.bilibili.com/video/av4609849,2016-05-09,21:31:22,89:00,467130,11916,1846,2328,12735
72,4590790,【黑暗之魂3】黑桐谷歌视频攻略 19 古龙顶端 古老飞龙,http://www.bilibili.com/video/av4590790,2016-05-07,21:48:52,65:00,272259,6100,703,989,3760
73,4578111,【黑暗之魂3】黑桐谷歌视频攻略 18 大书库,http://www.bilibili.com/video/av4578111,2016-05-06,18:26:08,56:30,246507,5861,694,1008,3997
74,4560923,【黑暗之魂3】黑桐谷歌视频攻略 17 洛斯里克城 猎龙铠甲,http://www.bilibili.com/video/av4560923,2016-05-04,19:59:38,61:00,278979,5301,698,1045,3586
75,4553114,【黑暗之魂3】黑桐谷歌视频攻略 16 冷冽谷的舞娘 妖王欧斯罗艾斯 英雄古达,http://www.bilibili.com/video/av4553114,2016-05-03,22:37:25,80:00,356429,8925,1094,1194,5007
76,4510948,【黑暗之魂3】黑桐谷歌视频攻略 15 亚诺尔隆德 埃尔德里奇,http://www.bilibili.com/video/av4510948,2016-04-30,02:43:41,72:00,338746,9928,1007,1241,4530
