,title,ID,url,channel,datetime,length,viewCount,likeCount,dislikeCount,commentCount,oneDayEnd
30,How to sound smarter without actually being smarter: Pause,GVziJ36gjys,www.youtube.com/watch?v=GVziJ36gjys,The Package Boy,2017-04-09 15:12:16,55,139297,1929,291,303.0,1
31,"Chinese Farmers Market Tour in Szechuan, China |  BEST Street Food + SPICY Szechuan Sauce in China",V9FpUSigyX8,www.youtube.com/watch?v=V9FpUSigyX8,The Food Ranger,2017-04-09 22:00:11,992,198733,7059,129,2924.0,1
32,[NEW SEASONAL EVENT] Welcome to Overwatch Uprising!,cpGrY9i8TSA,www.youtube.com/watch?v=cpGrY9i8TSA,PlayOverwatch,2017-04-11 14:10:28,125,1288617,33436,627,5381.0,1
33,Gorillaz App (Trailer),mMsibRR5KMI,www.youtube.com/watch?v=mMsibRR5KMI,Gorillaz,2017-04-11 11:01:03,22,871734,36469,669,3488.0,1
34,Binging with Babish: Tampopo Ramen,GXDQOSbcmv4,www.youtube.com/watch?v=GXDQOSbcmv4,Andrew Rea,2017-04-11 08:49:33,228,658707,16919,413,2328.0,1
35,Attendees chant 'you lie' at U.S. Rep. Joe Wilson during Graniteville town hall,90iPgPgSPi8,www.youtube.com/watch?v=90iPgPgSPi8,The Post and Courier,2017-04-10 22:57:20,34,160746,1396,252,948.0,1
36,United Airlines Passenger Violently Removed From Flight,uz3EDgJu8Zk,www.youtube.com/watch?v=uz3EDgJu8Zk,Wall Street Journal,2017-04-11 09:57:37,40,401107,1546,7470,4793.0,1
37,Orange is the New Black | Season 5 First Look [HD] | Netflix,g3cv82rN-ts,www.youtube.com/watch?v=g3cv82rN-ts,Netflix US & Canada,2017-04-11 10:30:23,77,860498,7016,363,1319.0,1
38,United Airlines passenger apparently dragged off flight after refusing to give up seat,WEw-GjTriIo,www.youtube.com/watch?v=WEw-GjTriIo,ABC News,2017-04-10 20:47:21,154,417136,3163,1404,6773.0,1
39,Fly the friendly skies with a real airline | Emirates Airline,aEevyPse3f8,www.youtube.com/watch?v=aEevyPse3f8,Emirates,2017-04-11 13:13:20,35,654343,16502,996,4365.0,1
40,Honest Trailers - Rogue One: A Star Wars Story,t9-pTStLGGo,www.youtube.com/watch?v=t9-pTStLGGo,Screen Junkies,2017-04-11 13:00:04,369,1744185,54895,1687,9930.0,1
41,Sean Spicer: Hitler didn't use chemical weapons,ZeGM41aktoA,www.youtube.com/watch?v=ZeGM41aktoA,Raw Story,2017-04-11 14:08:55,89,236155,1018,2431,4546.0,1
