,aid,title,url,date,time,length,play,danmaku,review,favorites,coin
0,10222107,冰冷解说：6星鸩/以津真天斗技实况（精编版）,http://www.bilibili.com/video/av10222107,2017-04-30,14:30:36,49:15,2781,129,113,11,47
1,10220329,冰冷解说：阴阳师轮入道鸩疯狂叠毒！（切磋实况）,http://www.bilibili.com/video/av10220329,2017-04-30,14:30:06,54:44,2863,111,82,12,41
2,10175255,冰冷解说：逆袭之星途闪耀 第015期,http://www.bilibili.com/video/av10175255,2017-04-29,03:35:47,49:54,10215,2457,419,97,694
3,10077469,冰冷解说：阴阳师“双拉白火”登顶斗技实况,http://www.bilibili.com/video/av10077469,2017-04-24,12:19:13,63:54,40488,1566,488,209,348
4,10064292,冰冷解说：6星以津真天斗技实况（低速纯输出魍魉）,http://www.bilibili.com/video/av10064292,2017-04-24,02:22:13,69:27,54577,1786,337,298,332
5,10043590,冰冷解说：两只6星“以津真天”（阴阳师协同斗技）,http://www.bilibili.com/video/av10043590,2017-04-23,05:25:26,98:24,74530,1821,531,374,514
6,10028011,【阴阳师】4.22体验服 阎魔加强实测,http://www.bilibili.com/video/av10028011,2017-04-22,13:35:32,03:15,62108,351,773,200,262
7,10022194,【阴阳师】第二十一章新剧情：七角山秘闻,http://www.bilibili.com/video/av10022194,2017-04-22,08:55:56,32:18,40396,3698,753,536,423
8,10017141,冰冷解说：4.22协同斗技录像（还是雪女最厉害~）,http://www.bilibili.com/video/av10017141,2017-04-22,05:56:43,92:08,13892,858,231,45,163
9,10016686,冰冷解说：潜伏之赤途 第005期 （海蛇线结局）,http://www.bilibili.com/video/av10016686,2017-04-22,08:54:22,65:55,3580,767,150,38,221
10,9991305,冰冷解说：逆袭之星途闪耀 第014期,http://www.bilibili.com/video/av9991305,2017-04-21,06:05:46,30:34,10813,1439,325,61,415
11,9978411,冰冷解说：阴阳师后手肉控队队花——烟烟罗！,http://www.bilibili.com/video/av9978411,2017-04-20,12:10:57,63:18,42550,1169,295,261,337
12,9948552,冰冷解说：潜伏之赤途 第004期,http://www.bilibili.com/video/av9948552,2017-04-19,05:08:10,55:13,4464,658,194,47,221
13,9946275,冰冷解说：逆袭之星途闪耀 第013期,http://www.bilibili.com/video/av9946275,2017-04-19,03:10:49,77:26,10721,2998,360,79,646
14,9916936,冰冷解说：恒水中学连环虐杀 （4P更新完毕）,http://www.bilibili.com/video/av9916936,2017-04-17,12:06:29,258:56,18962,2146,422,308,595
15,9916771,冰冷解说：高速针女荒 4保1阵容斗技上分实况,http://www.bilibili.com/video/av9916771,2017-04-17,11:56:55,68:40,27845,1463,233,166,259
16,9905720,冰冷解说：逆袭之星途闪耀 第012期,http://www.bilibili.com/video/av9905720,2017-04-17,03:31:49,81:04,12404,3887,359,93,664
17,9897524,冰冷解说：逆袭之星途闪耀 第011期,http://www.bilibili.com/video/av9897524,2017-04-16,15:18:39,75:57,12547,4244,371,87,579
18,9896059,冰冷解说：后宫三千人 第005期（完结撒花~）,http://www.bilibili.com/video/av9896059,2017-04-16,13:22:33,45:38,5416,274,152,22,68
19,9869268,冰冷解说：灯笼鬼+夜叉椒图反击队斗技实况（不是娱乐向，别笑~）,http://www.bilibili.com/video/av9869268,2017-04-15,13:16:28,83:49,42826,2258,445,190,361
20,9855422,冰冷解说：体验服协同斗技实况（荒、判官、金鱼姬等）,http://www.bilibili.com/video/av9855422,2017-04-15,04:18:10,88:23,17214,990,216,103,195
21,9847649,【阴阳师】番外新片：春樱之宴 （体验服快报）,http://www.bilibili.com/video/av9847649,2017-04-14,22:04:54,24:01,64088,6063,1255,1889,718
22,9842523,冰冷解说：后宫三千人 第004期（直播实况）,http://www.bilibili.com/video/av9842523,2017-04-14,14:39:00,57:46,5454,712,137,26,122
23,9842442,冰冷解说：6星蚌精鲤鱼精斗技实况,http://www.bilibili.com/video/av9842442,2017-04-14,14:36:16,63:15,27741,798,274,184,191
24,9827279,冰冷解说：逆袭之星途闪耀 第010期,http://www.bilibili.com/video/av9827279,2017-04-14,01:37:15,102:58,14848,5604,665,121,920
25,9820142,冰冷解说：后宫三千人 第003期（直播实况）,http://www.bilibili.com/video/av9820142,2017-04-13,12:40:18,52:53,5703,686,152,32,180
26,9799913,冰冷解说：逆袭之星途闪耀 第009期,http://www.bilibili.com/video/av9799913,2017-04-12,13:24:35,63:22,12982,3310,371,123,780
