,aid,title,url,date,time,length,play,danmaku,review,favorites,coin
0,9442249,【FGO】无间地狱——最初的高难度副本,http://www.bilibili.com/video/av9442249,2017-03-28,10:07,02:49,28985,221,444,267,852
1,9256898,【塞尔达】手残党40秒无伤速刷银色人马,http://www.bilibili.com/video/av9256898,2017-03-19,11:50,05:57,13351,131,221,72,151
2,9221337,【塞尔达】荒野之息BUG，可以反复触发,http://www.bilibili.com/video/av9221337,2017-03-17,20:33,03:25,16732,124,239,37,174
3,9181787,【FGO】总司复刻卡池验毒,http://www.bilibili.com/video/av9181787,2017-03-15,18:42,12:25,56729,1729,621,281,523
4,9142162,【塞尔达】蛮人套装——全3迷宫,http://www.bilibili.com/video/av9142162,2017-03-13,15:49,16:35,9885,93,129,65,98
5,9134595,【塞尔达】四大迷宫BOSS战——骆驼+中途盗贼任务,http://www.bilibili.com/video/av9134595,2017-03-13,05:35,17:14,6300,145,115,22,80
6,9134493,【塞尔达】四大迷宫BOSS战——蜥蜴,http://www.bilibili.com/video/av9134493,2017-03-13,01:18,10:14,5086,85,89,14,68
7,9120309,【塞尔达】四大迷宫BOSS战——大象+中途人马任务,http://www.bilibili.com/video/av9120309,2017-03-12,15:12,14:45,10375,250,218,29,115
8,9120155,【塞尔达】四大迷宫BOSS战——飞鹰,http://www.bilibili.com/video/av9120155,2017-03-12,15:09,09:04,9481,195,130,20,111
9,9099290,【塞尔达】手残党还要刷人马,http://www.bilibili.com/video/av9099290,2017-03-11,19:36,01:55,19043,92,314,43,215
10,9088394,【FGO】普通的旧剑,http://www.bilibili.com/video/av9088394,2017-03-11,10:05,03:16,50599,424,684,295,522
11,9084097,【塞尔达】手残党也要刷古代套,http://www.bilibili.com/video/av9084097,2017-03-11,00:29,06:03,30394,205,307,100,252
12,9041572,【FGO】突如其来的旧剑卡池,http://www.bilibili.com/video/av9041572,2017-03-08,19:14,22:39,84860,3127,1111,606,1047
13,8912053,【FGO】黑化弱三分？,http://www.bilibili.com/video/av8912053,2017-03-01,23:09,05:16,78107,491,813,270,438
14,8905347,【FGO】史上最恶劣卡池验毒,http://www.bilibili.com/video/av8905347,2017-03-01,17:15,09:58,97157,2898,709,446,692
