,title,ID,url,channel,datetime,length,viewCount,likeCount,dislikeCount,commentCount,oneDayEnd
0,Matt & Jeff Hardy make a shocking return to WWE: WrestleMania 33 (WWE Network Exclusive),BVeC9wXZLUc,www.youtube.com/watch?v=BVeC9wXZLUc,WWE,2017-04-02 21:50:47,2:18,6367117,157349,2540,25825,0
1,Marijuana: Last Week Tonight with John Oliver (HBO),BcR_Wg42dv8,www.youtube.com/watch?v=BcR_Wg42dv8,LastWeekTonight,2017-04-03 02:30:00,16:52,2342411,65727,2815,9327,0
2,"The President Show - All Winners, No Losers",bsGawGjQIpY,www.youtube.com/watch?v=bsGawGjQIpY,Comedy Central,2017-04-03 10:04:49,0:55,198473,3101,787,813,0
3,Comedians have figured out the trick to covering Trump,-fUDIucr2eo,www.youtube.com/watch?v=-fUDIucr2eo,Vox,2017-04-03 08:18:43,6:54,527381,27033,4523,5326,0
4,John Oliver - Devin Nunes,TMfu3aaxE68,www.youtube.com/watch?v=TMfu3aaxE68,consumer,2017-04-03 03:04:00,2:56,221035,2506,197,246,0
