,title,ID,url,channel,datetime,length,viewCount,likeCount,dislikeCount,commentCount,oneDayEnd
0,Marvels THE DEFENDERS Teaser Trailer SEASON 1 (2017) Netflix Series,ngpuw41IqPk,www.youtube.com/watch?v=ngpuw41IqPk,Series Trailer MP,2017-04-04 09:10:15,0:16,582962,9614,941,2023,0
1,Stephen Curry Has a New Life Coach,Xs1sMqpc1oM,www.youtube.com/watch?v=Xs1sMqpc1oM,The Late Late Show with James Corden,2017-04-04 04:35:00,10:01,1443546,46446,762,3935,0
2,INVADER ZIM RETURNS | Nickelodeon Animation,wMnV_eL-D7w,www.youtube.com/watch?v=wMnV_eL-D7w,Nick Animation,2017-04-04 15:53:12,1:03,28620,9701,79,2869,0
3,Binging with Babish: Rick & Morty Szechuan Sauce,wBhhlE92mIQ,www.youtube.com/watch?v=wBhhlE92mIQ,Andrew Rea,2017-04-04 09:00:31,3:42,741443,32761,418,2314,0
4,Don't Mix Electricity And Water!,WvbvMT-ieTw,www.youtube.com/watch?v=WvbvMT-ieTw,"Grant Thompson - ""The King of Random""",2017-04-04 10:00:02,8:42,841499,30607,1069,6869,0
5,Honest Trailers - The Fast and the Furious: Tokyo Drift,CvFN2_6IkyI,www.youtube.com/watch?v=CvFN2_6IkyI,Screen Junkies,2017-04-04 13:00:01,4:34,607453,22652,499,3790,0
6,Try Not To Flinch Challenge,2ONXCig9pf4,www.youtube.com/watch?v=2ONXCig9pf4,Good Mythical Morning,2017-04-04 06:00:00,11:30,743413,31414,451,3432,0
7,I Am Heath Ledger Official Trailer,5PPTDsTnaPk,www.youtube.com/watch?v=5PPTDsTnaPk,SPIKE,2017-04-04 10:24:27,2:52,118592,3805,110,646,0
