,aid,title,url,date,time,length,play,danmaku,review,favorites,coin
0,10271910,冰冷解说：5.2斗技实况 6星以津真天和鸩,http://www.bilibili.com/video/av10271910,2017-05-02,15:27:18,66:09,2921,181,123,19,56
1,10249977,冰冷解说：5.1斗鸡实况 我的鸩终于把毒升满了！,http://www.bilibili.com/video/av10249977,2017-05-01,13:14:22,65:25,15712,851,253,67,145
2,10239653,冰冷解说：遇龙（已更新2P）,http://www.bilibili.com/video/av10239653,2017-05-01,08:03:11,107:24,10048,2722,444,204,412
3,10222107,冰冷解说：6星鸩/以津真天斗技实况（精编版）,http://www.bilibili.com/video/av10222107,2017-04-30,14:30:36,49:15,27325,1005,267,135,276
4,10220329,冰冷解说：阴阳师轮入道鸩疯狂叠毒！（切磋实况）,http://www.bilibili.com/video/av10220329,2017-04-30,14:30:06,54:44,27404,809,221,124,164
5,10175255,冰冷解说：逆袭之星途闪耀 第015期,http://www.bilibili.com/video/av10175255,2017-04-29,03:35:47,49:54,13292,2661,436,133,751
6,10077469,冰冷解说：阴阳师“双拉白火”登顶斗技实况,http://www.bilibili.com/video/av10077469,2017-04-24,12:19:13,63:54,42029,1580,494,223,352
7,10064292,冰冷解说：6星以津真天斗技实况（低速纯输出魍魉）,http://www.bilibili.com/video/av10064292,2017-04-24,02:22:13,69:27,56737,1799,339,301,332
8,10043590,冰冷解说：两只6星“以津真天”（阴阳师协同斗技）,http://www.bilibili.com/video/av10043590,2017-04-23,05:25:26,98:24,77462,1839,535,386,517
9,10028011,【阴阳师】4.22体验服 阎魔加强实测,http://www.bilibili.com/video/av10028011,2017-04-22,13:35:32,03:15,62972,351,783,199,266
10,10022194,【阴阳师】第二十一章新剧情：七角山秘闻,http://www.bilibili.com/video/av10022194,2017-04-22,08:55:56,32:18,40869,3715,759,540,425
11,10017141,冰冷解说：4.22协同斗技录像（还是雪女最厉害~）,http://www.bilibili.com/video/av10017141,2017-04-22,05:56:43,92:08,14151,878,231,45,167
12,10016686,冰冷解说：潜伏之赤途 第005期 （海蛇线结局）,http://www.bilibili.com/video/av10016686,2017-04-22,08:54:22,65:55,3702,771,153,38,221
13,9991305,冰冷解说：逆袭之星途闪耀 第014期,http://www.bilibili.com/video/av9991305,2017-04-21,06:05:46,30:34,11183,1457,325,65,417
14,9978411,冰冷解说：阴阳师后手肉控队队花——烟烟罗！,http://www.bilibili.com/video/av9978411,2017-04-20,12:10:57,63:18,43158,1175,296,262,341
15,9948552,冰冷解说：潜伏之赤途 第004期,http://www.bilibili.com/video/av9948552,2017-04-19,05:08:10,55:13,4532,668,194,46,223
16,9946275,冰冷解说：逆袭之星途闪耀 第013期,http://www.bilibili.com/video/av9946275,2017-04-19,03:10:49,77:26,11065,3047,360,81,648
17,9916936,冰冷解说：恒水中学连环虐杀 （5P更新完毕）,http://www.bilibili.com/video/av9916936,2017-04-17,12:06:29,328:45,20597,2571,456,391,627
18,9916771,冰冷解说：高速针女荒 4保1阵容斗技上分实况,http://www.bilibili.com/video/av9916771,2017-04-17,11:56:55,68:40,28279,1473,234,166,266
19,9905720,冰冷解说：逆袭之星途闪耀 第012期,http://www.bilibili.com/video/av9905720,2017-04-17,03:31:49,81:04,12765,3939,359,96,668
20,9897524,冰冷解说：逆袭之星途闪耀 第011期,http://www.bilibili.com/video/av9897524,2017-04-16,15:18:39,75:57,12905,4290,371,89,579
21,9896059,冰冷解说：后宫三千人 第005期（完结撒花~）,http://www.bilibili.com/video/av9896059,2017-04-16,13:22:33,45:38,5520,274,152,21,68
22,9869268,冰冷解说：灯笼鬼+夜叉椒图反击队斗技实况（不是娱乐向，别笑~）,http://www.bilibili.com/video/av9869268,2017-04-15,13:16:28,83:49,43135,2262,445,189,361
23,9855422,冰冷解说：体验服协同斗技实况（荒、判官、金鱼姬等）,http://www.bilibili.com/video/av9855422,2017-04-15,04:18:10,88:23,17311,993,216,102,195
24,9847649,【阴阳师】番外新片：春樱之宴 （体验服快报）,http://www.bilibili.com/video/av9847649,2017-04-14,22:04:54,24:01,64483,6084,1259,1890,718
25,9842523,冰冷解说：后宫三千人 第004期（直播实况）,http://www.bilibili.com/video/av9842523,2017-04-14,14:39:00,57:46,5538,715,137,26,126
26,9842442,冰冷解说：6星蚌精鲤鱼精斗技实况,http://www.bilibili.com/video/av9842442,2017-04-14,14:36:16,63:15,27997,802,274,185,191
27,9827279,冰冷解说：逆袭之星途闪耀 第010期,http://www.bilibili.com/video/av9827279,2017-04-14,01:37:15,102:58,15209,5645,668,129,926
28,9820142,冰冷解说：后宫三千人 第003期（直播实况）,http://www.bilibili.com/video/av9820142,2017-04-13,12:40:18,52:53,5771,687,153,32,180
29,9799913,冰冷解说：逆袭之星途闪耀 第009期,http://www.bilibili.com/video/av9799913,2017-04-12,13:24:35,63:22,13257,3320,378,127,782
30,9793030,冰冷解说：阴阳师20章新剧情（体验服抢先看~）,http://www.bilibili.com/video/av9793030,2017-04-12,07:45:57,31:41,25671,1636,247,192,300
31,9779550,冰冷解说：6星管狐+6星破势孟婆斗技实况（后手）,http://www.bilibili.com/video/av9779550,2017-04-11,13:40:22,58:07,26574,849,285,117,548
32,9779174,冰冷解说：后宫三千人 第002期（直播实况）,http://www.bilibili.com/video/av9779174,2017-04-11,11:52:30,53:30,7601,792,180,42,213
33,9769655,冰冷解说：阴阳师视频攻略033 复活机制详解,http://www.bilibili.com/video/av9769655,2017-04-11,04:41:57,61:39,21334,533,263,195,404
