,aid,title,url,date,time,length,play,danmaku,review,favorites,coin
0,9869268,冰冷解说：灯笼鬼+夜叉椒图反击队斗技实况（不是娱乐向，别笑~）,http://www.bilibili.com/video/av9869268,2017-04-15,13:16:28,83:49,6668,497,190,27,78
1,9855422,冰冷解说：体验服协同斗技实况（荒、判官、金鱼姬等）,http://www.bilibili.com/video/av9855422,2017-04-15,04:18:10,88:23,9201,717,179,54,123
2,9847649,【阴阳师】番外新片：春樱之宴 （体验服快报）,http://www.bilibili.com/video/av9847649,2017-04-14,22:04:54,24:01,24548,2994,645,697,419
3,9842523,冰冷解说：后宫三千人 第004期（直播实况）,http://www.bilibili.com/video/av9842523,2017-04-14,14:39:00,57:46,3254,539,128,20,103
4,9842442,冰冷解说：6星蚌精鲤鱼精斗技实况,http://www.bilibili.com/video/av9842442,2017-04-14,14:36:16,63:15,17396,538,217,115,156
5,9827279,冰冷解说：逆袭之星途闪耀 第010期,http://www.bilibili.com/video/av9827279,2017-04-14,01:37:15,102:58,9584,4800,611,90,800
6,9820142,冰冷解说：后宫三千人 第003期（直播实况）,http://www.bilibili.com/video/av9820142,2017-04-13,12:40:18,52:53,4362,579,151,23,177
7,9799913,冰冷解说：逆袭之星途闪耀 第009期,http://www.bilibili.com/video/av9799913,2017-04-12,13:24:35,63:22,10116,3073,363,98,739
8,9793030,冰冷解说：阴阳师20章新剧情（体验服抢先看~）,http://www.bilibili.com/video/av9793030,2017-04-12,07:45:57,31:41,24116,1593,254,188,291
9,9779550,冰冷解说：6星管狐+6星破势孟婆斗技实况（后手）,http://www.bilibili.com/video/av9779550,2017-04-11,13:40:22,58:07,23505,820,284,112,520
10,9779174,冰冷解说：后宫三千人 第002期（直播实况）,http://www.bilibili.com/video/av9779174,2017-04-11,11:52:30,53:30,6352,706,180,36,206
11,9769655,冰冷解说：阴阳师视频攻略033 复活机制详解,http://www.bilibili.com/video/av9769655,2017-04-11,04:41:57,61:39,19976,528,264,185,398
12,9759172,冰冷解说：后宫三千人 第001期（直播实况）,http://www.bilibili.com/video/av9759172,2017-04-10,14:42:26,55:07,10095,1090,207,47,275
13,9746856,冰冷解说：逆袭之星途闪耀 第008期,http://www.bilibili.com/video/av9746856,2017-04-10,03:53:18,88:59,12371,4775,585,123,1059
