,title,ID,url,channel,datetime,length,viewCount,likeCount,dislikeCount,commentCount,oneDayEnd
0,Kendrick Lamar - DNA.,NLZRYQMLDW4,www.youtube.com/watch?v=NLZRYQMLDW4,KendrickLamarVEVO,2017-04-18 15:00:02,4:46,2307189,288753,3600,42858,0
1,Discontinued Snack Taste Test,zG6RCgtlb4M,www.youtube.com/watch?v=zG6RCgtlb4M,Good Mythical Morning,2017-04-18 06:00:05,13:32,1762196,46693,1450,13138,1
2,Bartenders Guess Who Is Underage,re5TqWQgWd4,www.youtube.com/watch?v=re5TqWQgWd4,WatchCut Video,2017-04-18 10:00:07,5:34,2593796,44639,1267,7486,1
3,Exercise,O6sS0qljJFI,www.youtube.com/watch?v=O6sS0qljJFI,Domics,2017-04-18 01:16:04,7:46,1568015,130968,709,20942,1
4,InfoWar's Alex Jones Has Nothing On Tuck Buckford,8qBNml_sSVo,www.youtube.com/watch?v=8qBNml_sSVo,The Late Show with Stephen Colbert,2017-04-18 03:35:00,5:11,1234148,16301,3499,4416,1
5,"AMERICAN ASSASSIN - Teaser Trailer - HD (Dylan O’Brien, Michael Keaton, Sanaa Lathan, Taylor Kitsch)",XwHAGKxsbcg,www.youtube.com/watch?v=XwHAGKxsbcg,CBS Films,2017-04-18 10:50:57,2:28,1754213,9532,308,1385,1
6,"The Little Hours | OFFICIAL RED BAND TRAILER | Alison Brie, Dave Franco, Aubrey Plaza",FYycHr4RsJw,www.youtube.com/watch?v=FYycHr4RsJw,Gunpowder & Sky,2017-04-18 11:30:00,2:04,240815,2330,477,379,1
7,This is the new Google Earth,O-XidwKsKAE,www.youtube.com/watch?v=O-XidwKsKAE,Google,2017-04-18 10:34:50,0:56,2508403,55171,1700,10140,1
